year,team,final_position,grand_slam,matches_played,matches_won,matches_drawn,matches_lost,points_scored,points_conceded,points_difference,tries_scored,tries_conceded,bonus_points,table_points,carries,offload,try_assist,defender_beaten,missed_tackle,lineout_steals,lineout_throws_won,kicks_in_play,kick_metres,retained_kick,dominant_contact,dominant_tackle_contact,total_successful_tackles,box_kicks,total_turnovers_won,attacking_catch_success,successful_goals,carry_metres_made,post_contact_metres,kick_bounced,initial_break,goal_kick_success_percent,tackle_success_percent,retained_kicks_percent,lineout_success_percent,metres_per_carry,post_contact_metres_per_carry,total_jackals,kick_metres_per_kick
2017,Ireland,2.0,N/A,5.0,3.0,0.0,2.0,126.0,77.0,49.0,14.0,7.0,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,France,3.0,N/A,5.0,3.0,0.0,2.0,107.0,90.0,17.0,8.0,6.0,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Scotland,4.0,N/A,5.0,3.0,0.0,2.0,122.0,118.0,4.0,14.0,12.0,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Wales,5.0,N/A,5.0,2.0,0.0,3.0,102.0,86.0,16.0,8.0,7.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Italy,6.0,N/A,5.0,0.0,0.0,5.0,50.0,201.0,-151.0,6.0,26.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Ireland,1.0,1,5.0,5.0,0.0,0.0,160.0,82.0,78.0,20.0,11.0,6.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Wales,2.0,N/A,5.0,3.0,0.0,2.0,119.0,83.0,36.0,13.0,11.0,3.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Scotland,3.0,N/A,5.0,3.0,0.0,2.0,101.0,128.0,-27.0,11.0,14.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,France,4.0,N/A,5.0,2.0,0.0,3.0,108.0,94.0,14.0,8.0,6.0,3.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,England,5.0,N/A,5.0,2.0,0.0,3.0,102.0,92.0,10.0,14.0,9.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Italy,6.0,N/A,5.0,0.0,0.0,5.0,92.0,203.0,-111.0,12.0,27.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Wales,1.0,1,5.0,5.0,0.0,0.0,114.0,65.0,49.0,10.0,7.0,3.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,England,2.0,N/A,5.0,3.0,1.0,1.0,184.0,101.0,83.0,24.0,13.0,4.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Ireland,3.0,N/A,5.0,3.0,0.0,2.0,101.0,100.0,1.0,14.0,10.0,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,France,4.0,N/A,5.0,2.0,0.0,3.0,93.0,118.0,-25.0,12.0,15.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Scotland,5.0,N/A,5.0,1.0,1.0,3.0,105.0,125.0,-20.0,14.0,17.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Italy,6.0,N/A,5.0,0.0,0.0,5.0,79.0,167.0,-88.0,10.0,22.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,England,1.0,0,5.0,4.0,0.0,1.0,121.0,77.0,44.0,14.0,9.0,2.0,18.0,493.0,29.0,8.0,42.0,75.0,5.0,54.0,187.0,5826.0,24.0,56.0,47.0,681.0,49.0,41.0,5.0,21.0,1690.0,219.0,72.0,10.0,80.8,85.2,12.8,90.0,3.4,0.4,11.0,31.2
2020,France,2.0,N/A,5.0,4.0,0.0,1.0,138.0,117.0,21.0,17.0,13.0,2.0,18.0,563.0,61.0,13.0,84.0,75.0,6.0,54.0,155.0,5436.0,21.0,69.0,44.0,775.0,37.0,35.0,5.0,21.0,2201.0,282.0,57.0,21.0,75.0,83.4,13.5,85.7,3.9,0.5,11.0,35.1
2020,Ireland,3.0,N/A,5.0,3.0,0.0,2.0,132.0,102.0,30.0,17.0,11.0,2.0,14.0,659.0,27.0,11.0,70.0,59.0,7.0,56.0,108.0,2929.0,14.0,74.0,28.0,640.0,33.0,31.0,1.0,20.0,1902.0,477.0,43.0,16.0,74.1,82.8,13.0,87.5,2.9,0.7,22.0,27.1
2020,Scotland,4.0,N/A,5.0,3.0,0.0,2.0,77.0,59.0,18.0,7.0,5.0,2.0,14.0,579.0,25.0,4.0,72.0,63.0,3.0,51.0,123.0,3914.0,18.0,122.0,33.0,677.0,31.0,36.0,3.0,15.0,1627.0,481.0,49.0,23.0,68.2,85.1,14.6,73.9,2.8,0.8,15.0,31.8
2020,Wales,5.0,N/A,5.0,1.0,0.0,4.0,119.0,98.0,21.0,13.0,11.0,4.0,8.0,701.0,72.0,10.0,67.0,62.0,2.0,63.0,148.0,4632.0,22.0,68.0,25.0,709.0,44.0,30.0,5.0,22.0,2686.0,398.0,45.0,16.0,95.7,86.0,14.9,88.7,3.8,0.6,9.0,31.3
2020,Italy,6.0,N/A,5.0,0.0,0.0,5.0,44.0,178.0,-134.0,6.0,25.0,0.0,0.0,602.0,53.0,4.0,73.0,76.0,3.0,68.0,111.0,4061.0,6.0,96.0,56.0,697.0,16.0,26.0,1.0,6.0,1575.0,517.0,27.0,15.0,60.0,81.9,5.4,89.5,2.6,0.9,11.0,36.6
2021,Wales,1.0,0,5.0,4.0,0.0,1.0,164.0,103.0,61.0,20.0,11.0,4.0,20.0,514.0,26.0,11.0,43.0,110.0,4.0,60.0,150.0,4557.0,25.0,70.0,26.0,910.0,58.0,29.0,6.0,26.0,1364.0,492.0,42.0,24.0,81.3,83.3,16.7,92.3,2.7,1.0,6.0,30.4
2021,France,2.0,N/A,5.0,3.0,0.0,2.0,140.0,103.0,37.0,18.0,10.0,4.0,16.0,559.0,54.0,15.0,132.0,83.0,4.0,67.0,137.0,4545.0,18.0,69.0,24.0,838.0,33.0,31.0,4.0,21.0,2001.0,506.0,61.0,26.0,75.0,84.9,13.1,90.5,3.6,0.9,17.0,33.2
2021,Ireland,3.0,N/A,5.0,3.0,0.0,2.0,136.0,88.0,48.0,12.0,10.0,3.0,15.0,676.0,32.0,5.0,77.0,71.0,9.0,48.0,150.0,4305.0,21.0,150.0,28.0,588.0,52.0,36.0,6.0,29.0,1822.0,548.0,37.0,15.0,93.5,81.2,14.0,88.9,2.7,0.8,16.0,28.7
2021,Scotland,4.0,N/A,5.0,3.0,0.0,2.0,138.0,91.0,47.0,18.0,10.0,3.0,15.0,724.0,46.0,5.0,119.0,40.0,7.0,59.0,133.0,3967.0,21.0,190.0,44.0,574.0,37.0,22.0,3.0,21.0,2390.0,881.0,56.0,36.0,77.8,84.8,15.8,83.1,3.3,1.2,13.0,29.8
2021,England,5.0,N/A,5.0,2.0,0.0,3.0,112.0,121.0,-9.0,12.0,11.0,2.0,10.0,520.0,29.0,7.0,91.0,88.0,3.0,53.0,130.0,4031.0,16.0,60.0,25.0,625.0,36.0,26.0,2.0,20.0,1764.0,453.0,63.0,22.0,80.0,82.9,12.3,91.4,3.4,0.9,8.0,31.0
2021,Italy,6.0,N/A,5.0,0.0,0.0,5.0,55.0,239.0,-184.0,6.0,34.0,0.0,0.0,578.0,37.0,3.0,66.0,136.0,1.0,61.0,88.0,3099.0,8.0,84.0,38.0,720.0,11.0,22.0,4.0,10.0,1584.0,549.0,26.0,18.0,90.9,74.9,9.1,84.7,2.7,0.9,11.0,35.2
2022,France,1.0,1,5.0,5.0,0.0,0.0,141.0,73.0,68.0,17.0,7.0,5.0,25.0,500.0,59.0,14.0,86.0,57.0,4.0,65.0,153.0,5425.0,13.0,46.0,23.0,667.0,40.0,45.0,3.0,22.0,1532.0,126.0,54.0,25.0,66.7,86.4,8.5,92.9,3.1,0.3,26.0,35.5
2022,Ireland,2.0,N/A,5.0,4.0,0.0,1.0,168.0,63.0,105.0,24.0,4.0,5.0,21.0,705.0,57.0,18.0,96.0,61.0,5.0,72.0,126.0,3588.0,20.0,74.0,11.0,587.0,36.0,31.0,5.0,22.0,2285.0,65.0,53.0,31.0,73.3,84.6,15.9,92.3,3.2,0.1,13.0,28.5
2022,England,3.0,N/A,5.0,2.0,0.0,3.0,101.0,96.0,5.0,8.0,12.0,2.0,10.0,548.0,37.0,6.0,59.0,75.0,5.0,59.0,135.0,3641.0,18.0,44.0,15.0,623.0,56.0,36.0,10.0,22.0,1764.0,192.0,48.0,15.0,81.5,81.1,13.3,86.8,3.2,0.4,14.0,27.0
2022,Scotland,4.0,N/A,5.0,2.0,0.0,3.0,92.0,121.0,-29.0,11.0,15.0,2.0,10.0,588.0,39.0,8.0,96.0,72.0,4.0,70.0,125.0,2922.0,13.0,46.0,9.0,688.0,28.0,35.0,1.0,14.0,2156.0,196.0,54.0,24.0,82.4,83.0,10.4,93.3,3.7,0.3,16.0,23.4
2022,Wales,5.0,N/A,5.0,1.0,0.0,4.0,76.0,104.0,-28.0,8.0,8.0,3.0,7.0,643.0,49.0,4.0,69.0,89.0,5.0,55.0,139.0,3362.0,21.0,20.0,13.0,811.0,30.0,33.0,7.0,13.0,1597.0,130.0,50.0,17.0,81.3,84.1,15.1,85.9,2.5,0.2,15.0,24.2
2022,Italy,6.0,N/A,5.0,1.0,0.0,4.0,60.0,181.0,-121.0,5.0,27.0,0.0,4.0,482.0,33.0,5.0,67.0,121.0,3.0,62.0,168.0,4859.0,18.0,26.0,10.0,827.0,55.0,30.0,7.0,13.0,1477.0,105.0,54.0,13.0,72.2,79.9,10.7,89.9,3.1,0.2,17.0,28.9
2023,Ireland,1.0,1,5.0,5.0,0.0,0.0,151.0,72.0,79.0,20.0,6.0,7.0,27.0,686.0,37.0,17.0,87.0,105.0,7.0,60.0,153.0,4972.0,18.0,134.0,43.0,687.0,39.0,42.0,4.0,22.0,2445.0,576.0,60.0,31.0,81.5,79.3,11.8,85.7,3.6,0.8,15.0,32.5
2023,France,2.0,N/A,5.0,4.0,0.0,1.0,174.0,115.0,59.0,21.0,14.0,4.0,20.0,561.0,60.0,17.0,123.0,81.0,5.0,49.0,156.0,5318.0,18.0,106.0,40.0,773.0,39.0,30.0,3.0,28.0,2178.0,469.0,50.0,31.0,84.8,81.5,11.5,89.1,3.9,0.8,16.0,34.1
2023,Scotland,3.0,N/A,5.0,3.0,0.0,2.0,118.0,98.0,20.0,17.0,12.0,3.0,15.0,619.0,55.0,15.0,101.0,64.0,9.0,58.0,129.0,4268.0,12.0,115.0,27.0,830.0,30.0,28.0,6.0,15.0,2224.0,519.0,49.0,25.0,75.0,86.1,9.3,84.1,3.6,0.8,8.0,33.1
2023,England,4.0,N/A,5.0,2.0,0.0,3.0,100.0,135.0,-35.0,13.0,18.0,2.0,10.0,617.0,30.0,9.0,84.0,111.0,,62.0,170.0,5296.0,14.0,141.0,42.0,681.0,54.0,36.0,2.0,13.0,1990.0,572.0,61.0,18.0,61.9,78.7,8.2,93.9,3.2,0.9,16.0,31.2
2023,Wales,5.0,N/A,5.0,1.0,0.0,4.0,84.0,147.0,-63.0,11.0,19.0,2.0,6.0,590.0,50.0,6.0,62.0,108.0,6.0,56.0,146.0,4208.0,23.0,103.0,44.0,727.0,41.0,35.0,5.0,12.0,1720.0,585.0,50.0,15.0,80.0,80.8,15.8,83.6,2.9,1.0,15.0,28.8
2023,Italy,6.0,N/A,5.0,0.0,0.0,5.0,89.0,149.0,-60.0,9.0,22.0,1.0,1.0,639.0,52.0,4.0,101.0,89.0,2.0,70.0,108.0,3174.0,11.0,114.0,27.0,668.0,17.0,29.0,3.0,16.0,2044.0,697.0,43.0,26.0,80.0,80.8,10.2,87.5,3.2,1.1,11.0,29.4
2024,Ireland,1.0,0,5.0,4.0,0.0,1.0,144.0,60.0,84.0,19.0,7.0,4.0,20.0,706.0,46.0,14.0,108.0,94.0,6.0,62.0,141.0,4407.0,8.0,170.0,28.0,634.0,39.0,31.0,3.0,21.0,2164.0,787.0,47.0,35.0,75.0,81.4,5.7,91.2,3.1,1.1,15.0,31.3
2024,France,2.0,N/A,5.0,3.0,1.0,1.0,128.0,122.0,6.0,13.0,14.0,1.0,15.0,619.0,53.0,9.0,121.0,79.0,3.0,60.0,137.0,4339.0,16.0,134.0,29.0,633.0,46.0,24.0,4.0,25.0,2007.0,617.0,51.0,27.0,89.3,83.1,11.7,87.0,3.2,1.0,10.0,31.7
2024,England,3.0,N/A,5.0,3.0,0.0,2.0,118.0,123.0,-5.0,13.0,13.0,2.0,14.0,493.0,26.0,11.0,99.0,102.0,5.0,61.0,149.0,4235.0,26.0,120.0,59.0,609.0,52.0,26.0,5.0,18.0,1740.0,540.0,51.0,26.0,69.2,79.4,17.4,89.7,3.5,1.1,7.0,28.4
2024,Scotland,4.0,N/A,5.0,2.0,0.0,3.0,115.0,115.0,0.0,12.0,13.0,4.0,12.0,635.0,59.0,9.0,110.0,78.0,5.0,46.0,168.0,5510.0,19.0,101.0,36.0,794.0,59.0,36.0,6.0,22.0,2005.0,543.0,58.0,22.0,95.7,87.1,11.3,85.2,3.2,0.9,10.0,32.8
2024,Italy,5.0,N/A,5.0,2.0,1.0,2.0,92.0,126.0,-34.0,9.0,16.0,1.0,11.0,481.0,43.0,7.0,79.0,150.0,2.0,57.0,131.0,3451.0,8.0,90.0,46.0,972.0,45.0,40.0,1.0,18.0,1550.0,433.0,37.0,18.0,78.3,79.6,6.1,82.6,3.2,0.9,17.0,26.3
2024,Wales,6.0,N/A,5.0,0.0,0.0,5.0,92.0,143.0,-51.0,13.0,16.0,4.0,4.0,688.0,28.0,5.0,91.0,105.0,4.0,67.0,141.0,3987.0,20.0,107.0,19.0,734.0,42.0,31.0,4.0,11.0,1735.0,526.0,48.0,22.0,91.7,80.9,14.2,87.0,2.5,0.8,12.0,28.3
2025,France,1.0,0,5.0,4.0,0.0,1.0,218.0,93.0,125.0,30.0,11.0,5.0,21.0,693.0,62.0,24.0,112.0,99.0,3.0,65.0,153.0,4778.0,26.0,110.0,55.0,764.0,50.0,34.0,5.0,30.0,2601.0,618.0,63.0,45.0,76.9,82.2,17.0,97.0,3.8,0.9,13.0,31.2
2025,England,2.0,N/A,5.0,4.0,0.0,1.0,179.0,105.0,74.0,25.0,15.0,4.0,20.0,599.0,29.0,21.0,124.0,125.0,5.0,69.0,183.0,4969.0,21.0,105.0,43.0,757.0,64.0,43.0,6.0,25.0,2112.0,549.0,63.0,33.0,83.3,79.5,11.5,92.0,3.5,0.9,22.0,27.2
2025,Ireland,3.0,N/A,5.0,4.0,0.0,1.0,135.0,117.0,18.0,17.0,14.0,3.0,19.0,661.0,25.0,12.0,94.0,137.0,2.0,76.0,142.0,4305.0,28.0,102.0,38.0,725.0,37.0,34.0,7.0,20.0,1759.0,555.0,63.0,28.0,66.7,78.0,19.7,92.7,2.7,0.8,12.0,30.3
2025,Scotland,4.0,N/A,5.0,2.0,0.0,3.0,115.0,131.0,-16.0,16.0,14.0,3.0,11.0,885.0,62.0,14.0,152.0,67.0,2.0,76.0,116.0,3254.0,13.0,118.0,37.0,600.0,53.0,32.0,4.0,15.0,2497.0,698.0,23.0,29.0,71.4,82.6,11.2,90.5,2.8,0.8,16.0,28.1
2025,Italy,5.0,N/A,5.0,1.0,0.0,4.0,106.0,188.0,-82.0,10.0,29.0,1.0,5.0,510.0,15.0,8.0,92.0,144.0,1.0,64.0,159.0,4379.0,21.0,69.0,62.0,866.0,55.0,34.0,5.0,22.0,1565.0,396.0,48.0,23.0,81.5,77.2,13.2,91.4,3.1,0.8,13.0,27.5
2025,Wales,6.0,N/A,5.0,0.0,0.0,5.0,76.0,195.0,-119.0,10.0,25.0,3.0,3.0,703.0,29.0,6.0,105.0,107.0,4.0,75.0,145.0,4162.0,20.0,86.0,38.0,792.0,45.0,23.0,5.0,10.0,1766.0,583.0,41.0,21.0,76.9,79.8,13.8,93.8,2.5,0.8,4.0,28.7
2026,France,1.0,0,5.0,4.0,0.0,1.0,211.0,130.0,81.0,30.0,19.0,5.0,21.0,728.0,77.0,27.0,153.0,109.0,3.0,52.0,144.0,4034.0,37.0,96.0,95.0,868.0,60.0,33.0,5.0,28.0,2848.0,595.0,57.0,56.0,87.5,82.4,25.7,94.5,3.9,0.8,8.0,28.0
2026,Ireland,2.0,N/A,5.0,4.0,0.0,1.0,146.0,108.0,38.0,20.0,14.0,3.0,19.0,721.0,45.0,16.0,139.0,134.0,6.0,54.0,142.0,3594.0,22.0,108.0,37.0,888.0,64.0,42.0,7.0,20.0,2151.0,713.0,40.0,32.0,74.1,79.2,15.5,94.7,3.0,1.0,19.0,25.3
2026,Scotland,3.0,N/A,5.0,3.0,0.0,2.0,143.0,144.0,-1.0,20.0,18.0,4.0,16.0,761.0,36.0,14.0,131.0,92.0,2.0,67.0,114.0,3023.0,23.0,69.0,42.0,723.0,65.0,25.0,4.0,20.0,1880.0,553.0,21.0,36.0,83.3,83.6,20.2,85.9,2.5,0.7,8.0,26.5
2026,Italy,4.0,N/A,5.0,2.0,0.0,3.0,79.0,117.0,-38.0,9.0,16.0,1.0,9.0,562.0,39.0,6.0,93.0,161.0,6.0,67.0,146.0,3779.0,23.0,67.0,49.0,813.0,55.0,42.0,6.0,13.0,1775.0,477.0,35.0,34.0,72.2,78.7,15.8,84.8,3.2,0.8,17.0,25.9
2026,England,5.0,N/A,5.0,1.0,0.0,4.0,153.0,151.0,2.0,21.0,18.0,4.0,8.0,695.0,28.0,17.0,125.0,111.0,4.0,74.0,150.0,3967.0,28.0,103.0,46.0,635.0,58.0,29.0,8.0,20.0,2345.0,678.0,39.0,38.0,76.9,77.7,18.7,94.9,3.4,1.0,11.0,26.4
2026,Wales,6.0,N/A,5.0,1.0,0.0,4.0,90.0,172.0,-82.0,11.0,26.0,2.0,6.0,644.0,25.0,8.0,98.0,132.0,2.0,69.0,137.0,4023.0,14.0,91.0,35.0,849.0,63.0,35.0,2.0,14.0,1746.0,605.0,31.0,22.0,93.3,78.1,10.2,88.5,2.7,0.9,16.0,29.4
